recall,precision,threshold
1.0,0.27848101265822783,0.03141972505204518
1.0,0.2786885245901639,0.03167989278648097
1.0,0.27889634601043994,0.03176004761825552
1.0,0.2791044776119403,0.03190570572510355
1.0,0.2793129200896191,0.0319101720801901
1.0,0.2795216741405082,0.03197693955549573
1.0,0.27973074046372476,0.032065457088407655
1.0,0.27994011976047906,0.03207345375062523
1.0,0.2801498127340824,0.03236353711225769
1.0,0.280359820089955,0.032423461120201565
1.0,0.2805701425356339,0.032551473347825426
1.0,0.2807807807807808,0.0326119723198984
1.0,0.2809917355371901,0.03279793223948333
1.0,0.281203007518797,0.032927139307077545
1.0,0.28141459744168545,0.033028824540604906
1.0,0.2816265060240964,0.033383171611441664
1.0,0.28183873398643555,0.03359651849622853
1.0,0.28205128205128205,0.03375984049613086
1.0,0.28226415094339624,0.03398116736449262
1.0,0.2824773413897281,0.03399253925655351
1.0,0.28269085411942557,0.03401186677713072
1.0,0.28290468986384265,0.03404665452164839
1.0,0.2831188493565481,0.03407682017639577
1.0,0.2833333333333333,0.03422328400373475
1.0,0.2835481425322214,0.03424381911261003
1.0,0.283763277693475,0.03442374109980263
1.0,0.2839787395596052,0.0345985745543668
1.0,0.28419452887537994,0.0346821658105546
1.0,0.2844106463878327,0.03488080703241039
1.0,0.2846270928462709,0.034940779050453286
1.0,0.28484386900228487,0.0349553993789468
1.0,0.2850609756097561,0.03524942842246406
1.0,0.28527841342486654,0.0358200838160877
1.0,0.28549618320610687,0.03587320621568544
1.0,0.2857142857142857,0.035979076359255395
1.0,0.28593272171253825,0.036054882715320404
1.0,0.2861514919663351,0.036129416294845076
1.0,0.28637059724349156,0.03626031561100625
1.0,0.28659003831417623,0.036357387625594206
1.0,0.28680981595092025,0.036510804482650254
1.0,0.2870299309286262,0.036512024682635015
1.0,0.2872503840245776,0.03676799736062609
1.0,0.28747117601844735,0.03678669711094342
1.0,0.2876923076923077,0.03690934081551402
1.0,0.2879137798306389,0.036958422185248016
1.0,0.288135593220339,0.03697964278295404
1.0,0.28835774865073244,0.037377916108749555
1.0,0.28858024691358025,0.03738494650541372
1.0,0.2888030888030888,0.037618999571215145
1.0,0.2890262751159196,0.03810353816130391
1.0,0.28924980665119876,0.038445334362464445
1.0,0.2894736842105263,0.03869370636527939
1.0,0.28969790859798605,0.03883404096853474
1.0,0.289922480620155,0.038856557691527675
1.0,0.29014740108611325,0.03893304345638196
1.0,0.29037267080745344,0.03903559391114421
1.0,0.2905982905982906,0.03908298888741681
1.0,0.29082426127527217,0.03913907645894317
1.0,0.29105058365758757,0.03975239482609302
1.0,0.29127725856697817,0.03996566315911401
1.0,0.2915042868277475,0.040120464975821404
1.0,0.2917316692667707,0.040360787291765315
1.0,0.29195940671350507,0.040386395525431745
1.0,0.2921875,0.04056247678945207
1.0,0.292415949960907,0.04074716590141807
1.0,0.29264475743348983,0.04086346455384039
1.0,0.29287392325763506,0.04105980437080039
1.0,0.29310344827586204,0.04117017436444467
